[14:26:44][INFO][GLFWwindow]:initializing GLFW
[14:26:44][INFO][GLFWwindow]:window initialized
[14:26:44][INFO][renderer]:initializing GLAD
[14:26:44][INFO][fileIO]:reading file:./shaders/secondPass/shader.vert
[14:26:44][INFO][fileIO]:reading file:./shaders/secondPass/shader.frag
[14:26:44][INFO][renderer]:initializing Renderer
[14:26:44][INFO][logger]:logging with log file:logs.txt
[14:26:44][INFO][logger]:logLevel set:DEBUG
[14:26:44][INFO][engine]:Engine initializing
[14:26:44][INFO][fileIO]:reading file:./shaders/simple/shader.vert
[14:26:44][INFO][fileIO]:reading file:./shaders/simple/shader.frag
[14:26:44][INFO][fileIO]:reading file:./shaders/text/shader.vert
[14:26:44][INFO][fileIO]:reading file:./shaders/text/shader.frag
[14:26:44][INFO][fileIO]:reading file:./shaders/light/shader.vert
[14:26:44][INFO][fileIO]:reading file:./shaders/light/shader.frag
[14:26:46][WARN][scheduleManager]:REMOVING :0
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:26:51][WARN][scheduleManager]:REMOVING :1
[14:27:07][INFO][logger]:logger stopping...
